icd 9 codes,icd 9,intent,laterailty,procedure validation
3326,Biopsy Lung Closed Percutaneous,"Surgical procedure, for diagnosis",Right: origin of primary,Surgery/Operation Report
3326,Biopsy Lung Closed Percutaneous,"Surgical procedure, for diagnosis",Right: origin of primary,Pathology Report
9229,Radiation Therapy,"Not applicable, not a surgical procedure",,Physician/Consult Report
9225,Chemotherapy,"Not applicable, not a surgical procedure",,Physician/Consult Report
3249,Lobectomy of lung,Surgical procedure for treatment,Right: origin of primary,Surgery/Operation Report
8744,Cxray,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
8891,MRI Brain,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
9229,Radiation Therapy,"Not applicable, not a surgical procedure",,Physician/Consult Report
8891,MRI Brain,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
8873,US Thyroid,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
611,Biopsy Thyroid,"Surgical procedure, for diagnosis",Not a paired organ site,Surgery/Operation Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
,,,,
4523,Colonoscopy,Surgical procedure for prophylaxis,Not a paired organ site,Pathology Report
8873,US Thyroid,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8891,MRI Brain,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
64,Thyroidectomy-complete or total,"Surgical procedure, for diagnosis",Not a paired organ site,Surgery/Operation Report
8891,MRI Brain,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
8891,MRI Brain,"Not applicable, not a surgical procedure",Not a paired organ site,Physician/Consult Report
8873,US Thyroid,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
64,Thyroidectomy-complete or total,Surgical procedure for treatment,Not a paired organ site,Pathology Report
8891,MRI Brain,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
,,,,
8891,MRI Brain,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
,,,,
611,Biopsy Thyroid,"Surgical procedure, for diagnosis",Not a paired organ site,Pathology Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
8891,MRI Brain,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8873,US Thyroid,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8873,US Thyroid,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
1649,"Other enucleation of eyeball, NOS","Surgical procedure, for diagnosis",Left: origin of primary,Pathology Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
8873,US Thyroid,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
,,,,
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
3399,Other Operations of the Lung,"Surgical procedure, for diagnosis",Right: origin of primary,Physician/Consult Report
8891,MRI Brain,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
,,,,
639,Thyroidectomy-partial or subtotal,Surgical procedure for treatment,Not a paired organ site,Physician/Consult Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
8873,US Thyroid,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
64,Thyroidectomy-complete or total,Surgical procedure for treatment,Not a paired organ site,Pathology Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
611,Biopsy Thyroid,"Surgical procedure, for diagnosis",Not a paired organ site,Pathology Report
8891,MRI Brain,"Not applicable, not a surgical procedure",Not a paired organ site,Physician/Consult Report
8891,MRI Brain,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8891,MRI Brain,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8873,US Thyroid,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
8873,US Thyroid,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8873,US Thyroid,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8891,MRI Brain,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
64,Thyroidectomy-complete or total,Surgical procedure for treatment,Not a paired organ site,Pathology Report
,,,,
611,Biopsy Thyroid,"Surgical procedure, for diagnosis",Not a paired organ site,Pathology Report
8873,US Thyroid,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
8873,US Thyroid,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
64,Thyroidectomy-complete or total,Surgical procedure for treatment,Not a paired organ site,Pathology Report
611,Biopsy Thyroid,"Surgical procedure, for diagnosis",Not a paired organ site,Pathology Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
8873,US Thyroid,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
8873,US Thyroid,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
8897,MRI Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8873,US Thyroid,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8801,CT Scan Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8801,CT Scan Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Self Report
689X,Other and unspecified hysterectomy,"Surgical procedure, unknown intent",Not a paired organ site,Self Report
8873,US Thyroid,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
8891,MRI Brain,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8873,US Thyroid,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
3249,Lobectomy of lung,Surgical procedure for treatment,Right: origin of primary,Surgery/Operation Report
689X,Other and unspecified hysterectomy,"Surgical procedure, unknown intent",Not a paired organ site,Self Report
8891,MRI Brain,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8891,MRI Brain,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8891,MRI Brain,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
9225,Chemotherapy,"Not applicable, not a surgical procedure",,
8891,MRI Brain,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
64,Thyroidectomy-complete or total,Surgical procedure for treatment,Not a paired organ site,Surgery/Operation Report
,,,,
64,Thyroidectomy-complete or total,"Surgical procedure, for diagnosis",Not a paired organ site,Self Report
8873,US Thyroid,"Not applicable, not a surgical procedure",Not a paired organ site,Self Report
,,,,
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
8873,US Thyroid,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8873,US Thyroid,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
64,Thyroidectomy-complete or total,Surgical procedure for treatment,Not a paired organ site,Surgery/Operation Report
8873,US Thyroid,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8873,US Thyroid,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
64,Thyroidectomy-complete or total,Surgical procedure for treatment,Not a paired organ site,Surgery/Operation Report
3399,Other Operations of the Lung,"Surgical procedure, for diagnosis",Right: origin of primary,Physician/Consult Report
8873,US Thyroid,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8873,US Thyroid,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
64,Thyroidectomy-complete or total,"Surgical procedure, unknown intent",Not a paired organ site,Personal Relation Report
,,,,
8873,US Thyroid,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
64,Thyroidectomy-complete or total,Surgical procedure for treatment,Not a paired organ site,Surgery/Operation Report
8873,US Thyroid,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8873,US Thyroid,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
3399,Other Operations of the Lung,"Surgical procedure, for diagnosis",Right: origin of primary,Physician/Consult Report
64,Thyroidectomy-complete or total,"Surgical procedure, for diagnosis",Not a paired organ site,Pathology Report
64,Thyroidectomy-complete or total,Surgical procedure for treatment,Not a paired organ site,Surgery/Operation Report
8873,US Thyroid,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8873,US Thyroid,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
4523,Colonoscopy,Surgical procedure for prophylaxis,Not a paired organ site,Pathology Report
,,,,
8873,US Thyroid,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8873,US Thyroid,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8801,CT Scan Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
611,Biopsy Thyroid,"Surgical procedure, for diagnosis",Not a paired organ site,Radiology/Imaging Report
611,Biopsy Thyroid,"Surgical procedure, for diagnosis",Not a paired organ site,Radiology/Imaging Report
611,Biopsy Thyroid,"Surgical procedure, for diagnosis",Not a paired organ site,Surgery/Operation Report
,,,,
8891,MRI Brain,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
,,,,
8873,US Thyroid,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
64,Thyroidectomy-complete or total,Surgical procedure for treatment,Not a paired organ site,Surgery/Operation Report
8873,US Thyroid,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8873,US Thyroid,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
64,Thyroidectomy-complete or total,Surgical procedure for treatment,Not a paired organ site,Surgery/Operation Report
4523,Colonoscopy,Surgical procedure for prophylaxis,Not a paired organ site,Pathology Report
8873,US Thyroid,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8891,MRI Brain,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8873,US Thyroid,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
5523,"Biopsy Kidney, Closed","Surgical procedure, for diagnosis",Left: origin of primary,Pathology Report
,,,,
,,,,
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
64,Thyroidectomy-complete or total,Surgical procedure for treatment,Not a paired organ site,Surgery/Operation Report
8873,US Thyroid,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8873,US Thyroid,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
3399,Other Operations of the Lung,"Surgical procedure, for diagnosis",Left: origin of primary,Pathology Report
8801,CT Scan Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Self Report
8897,MRI Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Self Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
3326,Biopsy Lung Closed Percutaneous,"Surgical procedure, for diagnosis",Left: origin of primary,Surgery/Operation Report
8801,CT Scan Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
611,Biopsy Thyroid,"Surgical procedure, for diagnosis",Not a paired organ site,Surgery/Operation Report
,,,,
639,Thyroidectomy-partial or subtotal,Surgical procedure for treatment,Not a paired organ site,Physician/Consult Report
689X,Other and unspecified hysterectomy,Surgical procedure for treatment,Not a paired organ site,Self Report
,,,,
3249,Lobectomy of lung,"Surgical procedure, for diagnosis",Right: origin of primary,Pathology Report
8873,US Thyroid,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
3399,Other Operations of the Lung,"Surgical procedure, for diagnosis",Right: origin of primary,Physician/Consult Report
611,Biopsy Thyroid,"Surgical procedure, for diagnosis",Not a paired organ site,Pathology Report
611,Biopsy Thyroid,"Surgical procedure, for diagnosis",Not a paired organ site,Pathology Report
8873,US Thyroid,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8541,Unilateral simple mastectomy,Surgical procedure for treatment,Right: origin of primary,Self Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
8873,US Thyroid,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
9225,Chemotherapy,"Not applicable, not a surgical procedure",,Self Report
611,Biopsy Thyroid,"Surgical procedure, for diagnosis",Not a paired organ site,Pathology Report
8891,MRI Brain,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
611,Biopsy Thyroid,"Surgical procedure, for diagnosis",Not a paired organ site,Pathology Report
,,,,
,,,,
,,,,
,,,,
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
639,Thyroidectomy-partial or subtotal,"Surgical procedure, for diagnosis",Not a paired organ site,Pathology Report
611,Biopsy Thyroid,"Surgical procedure, for diagnosis",Not a paired organ site,Pathology Report
8801,CT Scan Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8801,CT Scan Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
64,Thyroidectomy-complete or total,Surgical procedure for treatment,Not a paired organ site,Pathology Report
8801,CT Scan Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
8891,MRI Brain,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
,,,,
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Self Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
8897,MRI Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
9229,Radiation Therapy,"Not applicable, not a surgical procedure",,Physician/Consult Report
8891,MRI Brain,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
611,Biopsy Thyroid,"Surgical procedure, for diagnosis",Not a paired organ site,Pathology Report
8873,US Thyroid,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Personal Relation Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
,,,,
8891,MRI Brain,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
3399,Other Operations of the Lung,Surgical procedure for treatment,Right: origin of primary,Pathology Report
9225,Chemotherapy,"Not applicable, not a surgical procedure",,Physician/Consult Report
8897,MRI Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Personal Relation Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
5523,"Biopsy Kidney, Closed","Surgical procedure, unknown intent",,Personal Relation Report
8873,US Thyroid,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8801,CT Scan Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8873,US Thyroid,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8897,MRI Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8744,Cxray,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
8873,US Thyroid,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8873,US Thyroid,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8801,CT Scan Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8801,CT Scan Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8873,US Thyroid,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
554,Partial nephrectomy,Surgical procedure for treatment,Right: origin of primary,Surgery/Operation Report
689X,Other and unspecified hysterectomy,"Surgical procedure, unknown intent",Not a paired organ site,Self Report
8891,MRI Brain,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
639,Thyroidectomy-partial or subtotal,"Surgical procedure, unknown intent",Not a paired organ site,Personal Relation Report
639,Thyroidectomy-partial or subtotal,"Surgical procedure, unknown intent",Not a paired organ site,Personal Relation Report
8891,MRI Brain,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8511,Closed [percutaneous][needle] biopsy of breast,"Surgical procedure, for diagnosis",Left: origin of primary,Pathology Report
689X,Other and unspecified hysterectomy,"Surgical procedure, unknown intent",Not a paired organ site,Self Report
8519,Other diagnostic procedures on breast,"Surgical procedure, for diagnosis",Left: origin of primary,Self Report
8891,MRI Brain,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
611,Biopsy Thyroid,"Surgical procedure, for diagnosis",Not a paired organ site,Pathology Report
8891,MRI Brain,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8519,Other diagnostic procedures on breast,"Surgical procedure, for diagnosis",Left: origin of primary,Pathology Report
8801,CT Scan Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8801,CT Scan Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8897,MRI Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8801,CT Scan Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8801,CT Scan Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
9229,Radiation Therapy,"Not applicable, not a surgical procedure",,Autopsy Report
8873,US Thyroid,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
611,Biopsy Thyroid,"Surgical procedure, for diagnosis",Not a paired organ site,Pathology Report
8801,CT Scan Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
64,Thyroidectomy-complete or total,"Surgical procedure, unknown intent",Not a paired organ site,Pathology Report
8744,Cxray,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
3399,Other Operations of the Lung,"Surgical procedure, for diagnosis",Left: origin of primary,Surgery/Operation Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
611,Biopsy Thyroid,"Surgical procedure, for diagnosis",Not a paired organ site,Pathology Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
113,Closed [percutaneous][needle] biopsy of brain,"Surgical procedure, for diagnosis",Not a paired organ site,Pathology Report
,,,,
8873,US Thyroid,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8891,MRI Brain,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8873,US Thyroid,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8801,CT Scan Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
64,Thyroidectomy-complete or total,Surgical procedure for treatment,Not a paired organ site,Pathology Report
8891,MRI Brain,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
,,,,
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
,,,,
8873,US Thyroid,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
64,Thyroidectomy-complete or total,"Surgical procedure, for diagnosis",Not a paired organ site,Pathology Report
554,Partial nephrectomy,Surgical procedure for treatment,Right: origin of primary,Surgery/Operation Report
8801,CT Scan Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8801,CT Scan Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
8801,CT Scan Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Self Report
8891,MRI Brain,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8801,CT Scan Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8873,US Thyroid,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8873,US Thyroid,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
8801,CT Scan Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
64,Thyroidectomy-complete or total,Surgical procedure for treatment,Not a paired organ site,Pathology Report
,,,,
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
,,,,
8891,MRI Brain,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
554,Partial nephrectomy,Surgical procedure for treatment,Right: origin of primary,Surgery/Operation Report
8897,MRI Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
554,Partial nephrectomy,Surgical procedure for treatment,Left: origin of primary,Surgery/Operation Report
8897,MRI Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
,,,,
8873,US Thyroid,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8897,MRI Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8801,CT Scan Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8891,MRI Brain,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8891,MRI Brain,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8897,MRI Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
3399,Other Operations of the Lung,Surgical procedure for treatment,Right: origin of primary,Surgery/Operation Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
9225,Chemotherapy,"Not applicable, not a surgical procedure",,
8891,MRI Brain,"Not applicable, not a surgical procedure",Not a paired organ site,Personal Relation Report
554,Partial nephrectomy,Surgical procedure for treatment,Right: origin of primary,Personal Relation Report
,,,,
8873,US Thyroid,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8897,MRI Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
3399,Other Operations of the Lung,Surgical procedure for treatment,Right: origin of primary,Surgery/Operation Report
2790,Other Operations on Mouth and Face,Surgical procedure for treatment,Not a paired organ site,Pathology Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
9225,Chemotherapy,"Not applicable, not a surgical procedure",,
554,Partial nephrectomy,Surgical procedure for treatment,Right: origin of primary,Surgery/Operation Report
8891,MRI Brain,"Not applicable, not a surgical procedure",Not a paired organ site,Personal Relation Report
554,Partial nephrectomy,Surgical procedure for treatment,Right: origin of primary,Personal Relation Report
8897,MRI Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
,,,,
8873,US Thyroid,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8891,MRI Brain,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
8897,MRI Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
8891,MRI Brain,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
9229,Radiation Therapy,"Not applicable, not a surgical procedure",,Physician/Consult Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
8891,MRI Brain,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8897,MRI Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
3399,Other Operations of the Lung,Surgical procedure for treatment,Right: origin of primary,Physician/Consult Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
8891,MRI Brain,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8897,MRI Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
8801,CT Scan Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
9225,Chemotherapy,"Not applicable, not a surgical procedure",,Physician/Consult Report
9229,Radiation Therapy,"Not applicable, not a surgical procedure",,Physician/Consult Report
9225,Chemotherapy,"Not applicable, not a surgical procedure",,Physician/Consult Report
,,,,
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
,,,,
9225,Chemotherapy,"Not applicable, not a surgical procedure",,Physician/Consult Report
9229,Radiation Therapy,"Not applicable, not a surgical procedure",,Physician/Consult Report
8891,MRI Brain,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8801,CT Scan Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
8801,CT Scan Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
8741,CT Scan Chest,"Not applicable, not a surgical procedure",,Radiology/Imaging Report
8801,CT Scan Abdomen,"Not applicable, not a surgical procedure",Not a paired organ site,Radiology/Imaging Report
9225,Chemotherapy,"Not applicable, not a surgical procedure",,Physician/Consult Report
